class,area_km2,percent,pixels
BuiltUp,8.1927,47.27,9103
Agricultural,4.9977,28.84,5553
BarrenLand,3.9933,23.04,4437
Water,0.1161,0.67,129
Vegetation,0.0306,0.18,34
