class,area_km2,percent,pixels
Agricultural,5.9463,42.37,6607
BuiltUp,3.4434,24.53,3826
Vegetation,2.7405,19.53,3045
BarrenLand,1.5174,10.81,1686
Water,0.3879,2.76,431
