class,area_km2,percent,pixels
BuiltUp,0.0000,53.50,31971
Agricultural,0.0000,36.60,21874
BarrenLand,0.0000,5.54,3310
Water,0.0000,4.08,2439
Vegetation,0.0000,0.28,166
