class,area_km2,percent,pixels
BuiltUp,17.8416,39.74,19824
BarrenLand,12.9573,28.86,14397
Agricultural,10.6101,23.63,11789
Water,2.9817,6.64,3313
Vegetation,0.5085,1.13,565
