class,area_km2,percent,pixels
Vegetation,11.1546,40.61,12394
Agricultural,9.7263,35.41,10807
BarrenLand,5.8293,21.22,6477
BuiltUp,0.5814,2.12,646
Water,0.1737,0.63,193
