class,area_km2,percent,pixels
BuiltUp,5.8869,68.87,6541
Agricultural,1.8441,21.58,2049
BarrenLand,0.7893,9.23,877
Vegetation,0.0243,0.28,27
Water,0.0027,0.03,3
