class,area_km2,percent,pixels
Agricultural,47.0439,70.37,52271
BuiltUp,10.7406,16.07,11934
BarrenLand,5.2569,7.86,5841
Vegetation,3.5631,5.33,3959
Water,0.2484,0.37,276
