class,area_km2,percent,pixels
BuiltUp,6.8904,64.21,7656
Agricultural,2.3139,21.56,2571
Water,1.1556,10.77,1284
BarrenLand,0.3690,3.44,410
Vegetation,0.0027,0.03,3
