class,area_km2,percent,pixels
BuiltUp,3.4218,41.38,3802
Agricultural,2.2860,27.65,2540
BarrenLand,1.8792,22.73,2088
Vegetation,0.5769,6.98,641
Water,0.1044,1.26,116
