class,area_km2,percent,pixels
BarrenLand,5.7186,62.84,6354
BuiltUp,2.5002,27.47,2778
Agricultural,0.7155,7.86,795
Vegetation,0.1215,1.34,135
Water,0.0450,0.49,50
